dataset,location,platform,WEBSITE,GEO,AE,EGA,INSILICODB
NKI,nki2002,agilent,http://www.rii.com/publications/2002/vantveer.html + http://www.rii.com/publications/2002/nejm.html,,,,
STNO2,sorlie2003,cdna.stanford,http://www.pnas.org/content/100/14/8418/suppl/DC1 + http://smd.stanford.edu/cgi-bin//publication/viewPublication.pl?pub_no=248,,,,
NCI,sotiriou2003,cdna.nci,http://www.pnas.org/content/100/18/10393/suppl/DC1,,,,
KOO,huang2003,affy.u95,http://mgm.duke.edu/genome/dna_micro/work/,,,,
MSK,minn2005,affy,,GSE2603,,,
UPP,miller2005,affy,,GSE3494,,,
STK,pawitan2005,affy,,GSE1456,,,
VDX,minn2007,affy,,GSE2034,,,
UNT,sotiriou2006,affy,,GSE6532,,,
MAINZ,schmidt2008,affy,,GSE11121,,,
DUKE,bild2006,affy.u95,,GSE3143,,,
DUKE2,bonnefoi2007,affy.3x,,GSE6861,,,
CAL,chin2006,affy,,,,,
TRANSBIG,transbig2006affy,affy,,GSE7390,,,
EMC2,bos2009,affy,,GSE12276,,,
NCH,naderi2007,agilent3,,,E-UCON-1,,
LUND,nimeusmalmstrom2008,swegene,,,,,
LUND2,saal2007,swegene,,GSE5325,,,
FNCLCC,campone2007,umgc.ircna,,GSE7017,,,
NCCS,yu2008,affy,,GSE5364,,,
IRB,lu2008,affy,,GSE5460,,,
TOP,desmedt2009,affy,,GSE16446,,,
DFHCC,li2010,affy,,GSE19615,,,
DFHCC2,silver2010,affy,,GSE18864,,,
EORTC10994,farmer2005,affy,,GSE1561,,,
HLP,natrajan2009,illumina,,,E-TABM-543,,
MAQC2,shi2010,affy,,GSE20194,,,
MCCC,waddell2009,illumina,,GSE19177,,,
MUG,calabro2008,operon,,GSE10510,,,
DFHCC3,richardson2006,affy,,GSE3744,,,
PNC,dedeurwaerder2010,affy,,GSE20711,,,
EXPO,expO_breast,affy,,GSE2109,,,
UCSF,korkola2003,cdna.ucsf,http://cc.ucsf.edu/people/waldman/korkola/outcome.htm,,,,
RH3,cizkova2010,affy,,GSE22035,,,
UNC4,prat2010,agilent99,,GSE18229,,,
METABRIC,METABRIC,illumina,,,,EGAS00000000083,
,,,,,,,
TAM,loi2008,affy,,GSE6532 + GSE9195,,,
TAM2,chanrion2008,aminolink,,GSE9893,,,
MGH,ma2004,agilent4,,GSE1379,,,
VDX3,zhang2008,affy,,GSE12093,,,
ABCSG ,filipits2011,affy,,GSE26971,,,
MDA5,symmans2010,affy,,GSE17705,,,
